;hsa;hsb;hsc;hsl;dis a b;dis a c;dis a l;dis b c;dis b l;dis c l
907;;Nine v͛ſah der alte ſih;Dc dunket mich harte wnd͛lich;daz mvͦz mich dvnchen wnderlich;1,0;1,0;1,0;0,76;0,71;0,55
908;;wer got riet fvr dih;Er ſp̃ch ſeder got ſwige rihte fuͥr dich;er ſprach ſo dir got nvͦ rite fvͤr dich;1,0;1,0;1,0;0,57;0,59;0,35
909;;la mvzige rede beliben;Es ʒimet niht guͦten wiben;zimt niht gvͦten wiben;1,0;1,0;1,0;0,69;0,73;0,23
910;;iz zimt niht guten wiͤben;Dc ſi vil vnnuͥʒ͛ rede triben;laze vnnvͤze rede beliben;1,0;1,0;1,0;0,69;0,76;0,55
911;;Als er ditz wort vol ſprach;Wc er dc wort ie wolle ſprach;Do er daz wort vol ſprach;1,0;1,0;1,0;0,41;0,19;0,34
912;;einen engel er vor im ſten ſah;Ainen enger er bi im ſach;einen engel er vor im ſach;1,0;1,0;1,0;0,37;0,2;0,19
913;;Der ſtraphet in dar vmbe;D͛ fragte in her umbe;der ſtraffete in dar vmbe;1,0;1,0;1,0;0,42;0,16;0,44
914;;er ſprach dv redeſt als ein tumbe;Er ſp̃ch du redoſt alſ der tumbe;dvͦ redeſt alſo der tvmbe;1,0;1,0;1,0;0,27;0,52;0,44
915;;Iz iſt war daz ſi da ſihet;V͛nim du mir die warhait;ſprach der engel wider in;1,0;1,0;1,0;0,73;0,81;0,8
916;;den ivden zewæinen geſchihet;Es iſt alſ ſi dir het geſait;dvͦ ſolt merchen einen ſin;1,0;1,0;1,0;0,75;0,75;0,79
917;;;Dar an ʒviwel du niht;ez iſt war daz ſi da ſiht;1,0;1,0;1,0;1,0;1,0;0,64
918;;;Den iuden ʒe wainenne geſchicht;den ivden ze weinen geſchiht;1,0;1,0;1,0;1,0;1,0;0,23
919;;Ir dinch gezivhet nu alſo;So werden ab͛ die haiden vro;ir dinch gezivht in alſo;1,0;1,0;1,0;0,79;0,16;0,75
920;;die heiden ſchrient dar vmbe vro;Den geʒuͥhet es ſich alſo;ſo ſint di heiden dar vmbe vro;1,0;1,0;1,0;0,75;0,44;0,8
921;;Daz in ir gelvke nahet;Wan in ir ſaͤlde nahet;wande in ir ſælde nahet;1,0;1,0;1,0;0,32;0,35;0,22
922;;daz heil vn̄ von diſem gahet;So hail von inen gahet;daz heil von diſen gahet;1,0;1,0;1,0;0,39;0,18;0,25
923;;Nu waren ſi nahen bi d͛ ſtat;nu warent ſi nahe vor der ſtat;Nvͦ waren ſi nahen bi der ſtat;1,0;1,0;1,0;0,27;0,13;0,27
924;;div froͮwe ir ab helfen bat;vͥnſer vroͮwe ir ab helfen bat;vnſer frowe ir ab helfen bat;1,0;1,0;1,0;0,23;0,21;0,1
925;;Wan ſi ſih wol des enſtvnt;wan ſi ſich des vil wol u͛ſtuͦnt;wande ſi ſich wol verſtvnt;1,0;1,0;1,0;0,47;0,35;0,47
926;;alſo div wiͤp von rehte tvnt;Alſ noch die vroͮwan ſchiere tuͦnt;ſo div wip von rehte tvnt;1,0;1,0;1,0;0,59;0,11;0,59
927;;Daz ir ziͤt nahen wære;Dc ir ʒit nahe waͤre;daz ir zit nahen wære;1,0;1,0;1,0;0,32;0,09;0,33
928;;ditze was ioſep ſwære;Das wc ioſephen ſwaͤre;Daz was Ioſeben ſwære;1,0;1,0;1,0;0,55;0,38;0,36
929;;wan er da ninder ſah;wan er da niene ſach;wande er da niender ſtende ſach;1,0;1,0;1,0;0,2;0,35;0,35
930;;hovs noh wiͤp noh d͛heinē dē gemah;Wip noch hus noch dc gemach;wip noch hvs noch den gemach;1,0;1,0;1,0;0,58;0,56;0,14
931;;Des zv der not bedvrfen ſol;Dc man ʒe kintbetē habē ſol;den man ze kindelbette haben ſol;1,0;1,0;1,0;0,66;0,59;0,31
932;;wan da bi ī einem b͛ge ein hol;wan da bi in ainem ſtaine hol;want da bi in einem ſteine ein hol;1,0;1,0;1,0;0,29;0,21;0,21
933;;Vinſter vnt niht zevollen wiͤt;Da wc vinſt͛ vn̄ niht wit;daz was vinſter vnde niht ze wit;1,0;1,0;1,0;0,67;0,56;0,34
934;;doch enmocht er and͛ ſelben ziͤt;Nu enmohte er an d͛ ſelben ʒit;doch enmohter an der ſelben zit;1,0;1,0;1,0;0,28;0,19;0,29
935;;Einer bezzer chemnaten;Beſſer kaͤmenaten;einer bezzern kemenaten;1,0;1,0;1,0;0,59;0,22;0,52
936;;die froͮwen niht beraten;Vͥnſer vroͮwen niht beratten;vnſer frowen niht beraten;1,0;1,0;1,0;0,25;0,2;0,18
937;;Selb er ir dar in truch;Selbe er ir da rin truͦg;Selbe er ir dar in do trvͦch;1,0;1,0;1,0;0,21;0,21;0,29
938;;der betwate genuch;Der bette waͤte genuͦg;der bettewæte genvͦch;1,0;1,0;1,0;0,32;0,24;0,32
939;;So er ſiͤ beſte mochte han;So er ſi beſte mohte han;ſo er ſi beſte mohte han;1,0;1,0;1,0;0,08;0,12;0,04
940;;vnt wolt des niht lan;Nu enwolte der h͛re niht enlan;vnde wolde ovch des niht lan;1,0;1,0;1,0;0,47;0,32;0,47
941;;Er bett ir mit ſin ſelbes hant;Er bettot ir mit ſin͛ hant;ern bette ir mit ſin ſelbes hant;1,0;1,0;1,0;0,3;0,09;0,34
942;;vih vn̄ der mazze gewant;Vihe vn̄ alſoͤlich gewant;vihe vnt der mazze gewant;1,0;1,0;1,0;0,44;0,08;0,44
943;;Des man da inne enb͛n mochte;Dc im dar ʒuͦ niht tohte;des er da enbern mohte;1,0;1,0;1,0;0,57;0,43;0,62
944;;vnt zu ir gemah niht tochte;Vnd des er enbern moͤhte;vnt daz ir niht entohte;1,0;1,0;1,0;0,59;0,44;0,58
945;;Daz muͦs vor der tvr ſten;Dis muͦſ er vor dem ſtaine lan;daz mvͦſe vor dem loche ſtan;1,0;1,0;1,0;0,5;0,39;0,43
946;;nv bat er ſi dar in gen;Do bat er ſi dar in gan;do bat ſi dar in gan I;1,0;1,0;1,0;0,13;0,35;0,26
947;;Vn̄ half ir gvtlich dar in;;;1,0;1,0;1,0;1,0;1,0;1,0
948;;vn̄ ſih nah gelabte hin;;;1,0;1,0;1,0;1,0;1,0;1,0
949;;;Vil harte guͤteliche;oſeben vil gvͤtliche;1,0;1,0;1,0;1,0;1,0;0,6
950;;;Der alte ʒuͥhte riche;der alte zvht riche;1,0;1,0;1,0;1,0;1,0;0,24
951;;;Hate mit im ainen kneht da;het ovch einen kneht da;1,0;1,0;1,0;1,0;1,0;0,38
952;;;Dem bewalh er ieſa;dem ſelbem bevalch er ieſa;1,0;1,0;1,0;1,0;1,0;0,38
953;;;Swc er vor dem ſtaine lie;ſwaz er da ſines dinges lie;1,0;1,0;1,0;1,0;1,0;0,56
954;;;Der h͛re do allaine gie;Der herre aleine dannen gie;1,0;1,0;1,0;1,0;1,0;0,44
955;;ER het mag inder ſtat;Ʒuͦ ſinen magen in die ſtat;zvͦ ſinen magen in di ſtat;1,0;1,0;1,0;0,44;0,46;0,11
956;;die er ſvmelich bat;Ʒwuͦ wiſen vroͮwan er do bat;zwͦ wiſe frowen er da bat;1,0;1,0;1,0;0,68;0,64;0,25
957;;Daz ſi durch in chomen dar;Die ſine niftlan waren;di ſine niftel waren;1,0;1,0;1,0;0,69;0,73;0,23
958;;da ſiͤn frowe gebar;Vnd allen walſch u͛baren;vnd allen valſch verbaren;1,0;1,0;1,0;0,71;0,68;0,2
959;;;Dc ſi durch in kaͤmen dar;dvrch ſinen willen chomen dar;1,0;1,0;1,0;1,0;1,0;0,55
960;;;Da ſin vroͮwe ir kint gebar;da ſin frowe ir kint gebar;1,0;1,0;1,0;1,0;1,0;0,11
961;;Daz ſi ſiͤ beruchten wol;Vn̄ ſi berieten alſ wol;daz ſi ſi bervͦchten alſo wol;1,0;1,0;1,0;0,58;0,31;0,38
962;;ſo man wiͤp zechintpette ſol;So man vroͮwan ʒe kintbettē ſol;ſo man wip ze kindelbette ſol;1,0;1,0;1,0;0,41;0,24;0,38
963;;Da dient er immer vmbe ſiͤ;Er gediende es iem͛ umb ſi;daz dient er immer vmbe ſi;1,0;1,0;1,0;0,5;0,12;0,5
964;;ſalome vn̄ zeloni;Div aine hies ſalome. diͮ and͛ anaſtaſi;Einiv hiez Salome div ander zeloni;1,0;1,0;1,0;0,74;0,56;0,47
965;;Zwo die beſten von d͛ ſtat;Vn̄ warēt die wiſeſtē vō d͛ ſtat;der wiſeſten zwͦ von der ſtat;1,0;1,0;1,0;0,47;0,45;0,69
966;;die gew͛ten den h͛ren des er bat;Vn̄ gewertō in des er ſi bat;ſi gewerten in des er da bat;1,0;1,0;1,0;0,53;0,44;0,25
967;;Si furen mit im da hin;Si giengent durch ſinē willē da hin;vnde chomen balde mit im hin;1,0;1,0;1,0;0,54;0,61;0,71
968;;vn̄ brahten all͛ ſlacht mit in;Vn̄ brahtēt all͛ ſlahte mit in;ſie brahten aller ſlahte mit in;1,0;1,0;1,0;0,17;0,23;0,23
969;;Spiſe alſ ſis wolten laben;Spiſe vn̄ ſwc man ſolte haben;ſpiſe da mite ſi ſie wolden laben;1,0;1,0;1,0;0,41;0,33;0,52
970;;vn̄ ander daz ſi ſolden haben;Da mitte ſi ſi woltō laben;vnd ander daz ſi ſolden haben;1,0;1,0;1,0;0,55;0,03;0,55
971;;Swi ſi dort eine læge;;Swi div frowe dort eine læge;1,0;1,0;1,0;1,0;0,29;1,0
972;;Vn̄ niemā was d͛ ir phlæge;;vnde niemen waſ der ir pflæge;1,0;1,0;1,0;1,0;0,31;1,0
973;;Vnſer herre got der guͦte;;vnſer herre got der gvͦte;1,0;1,0;1,0;1,0;0,08;1,0
974;;d͛ ſchuf ir ſolhiv huͦte;;der ſchvͦf ir ſoͤlhe hvͦte;1,0;1,0;1,0;1,0;0,31;1,0
975;;Daz ſi vil ſamfte genas;;daz ſi vil ſanfte genas;1,0;1,0;1,0;1,0;0,09;1,0
976;;d͛ engel eī michel menige was;;der engele ein michel menege was;1,0;1,0;1,0;1,0;0,16;1,0
977;;Die d͛ ammen reht begiengen;;di der ammen reht begiengen;1,0;1,0;1,0;1,0;0,15;1,0
978;;hie enerde ir herren enphiengen;;vnde ir herren vroͤliche enpfiengen;1,0;1,0;1,0;1,0;0,51;1,0
979;;vnder chintlichen iaren;;hi en erde vnder kintlichen iaren;1,0;1,0;1,0;1,0;0,39;1,0
980;;vor dem ſi zehimel ewich waren;;vor dem ſi doch ze himele waren;1,0;1,0;1,0;1,0;0,35;1,0
981;;Daz hous daz was ouch vinſter e;Der ſtain wc vil uinſt͛ e;Ovch waſ daz hvs vil vinſter e;1,0;1,0;1,0;0,61;0,45;0,53
982;;nu ſchæin dar in lihtes me;Nu ſahen dar inne liehtes me;nv waſ da inne liehteſ me;1,0;1,0;1,0;0,25;0,46;0,29
983;;Als ih ez wol gelichen mac;Dc ich es wol gelichen mag;alſ ich wol gelichen mach;1,0;1,0;1,0;0,23;0,27;0,31
984;;den ob ſiben tage an einen tac;Danne ob drie tage an ainen tag;danne ob dri tage an einen tach;1,0;1,0;1,0;0,32;0,29;0,16
985;;Ir ſchæin behalten haten;Ir lieht behalten haͤtin;ir ſchin gar behalten hæten;1,0;1,0;1,0;0,33;0,26;0,44
986;;unt mit gemæinen raten;Vnd mit gemainen raͤten;vnd mit gemeinen ræten;1,0;1,0;1,0;0,17;0,18;0,17
987;;Sunne vn̄ mane;Der ſunne vn̄ oͮch der mane;div ſvnne vnt der mane;1,0;1,0;1,0;0,52;0,5;0,37
988;;vn̄ die ſterne nebeles ane;Die ſternen nebelſ ane;vnt die ſterne nebels ane;1,0;1,0;1,0;0,31;0,08;0,28
989;;wurden vmb liͤht en ein;Wrdent umb ain lieht en ain;wrden vmbe ein lieht enein;1,0;1,0;1,0;0,37;0,31;0,26
990;;noh liehter ez dar inn erſchein;Noch lieht͛ es dar inne erſchain;noch liehter ez dar inne ſchein;1,0;1,0;1,0;0,22;0,1;0,22
991;;Daz was zewund͛n niht;Dis wc enhain wnd͛ niht;Daz waſ dehein wnder niͤht;1,0;1,0;1,0;0,57;0,42;0,38
992;;vm daz ewige liͤht;Wan das ewige lieht;want daz ewige lieht;1,0;1,0;1,0;0,26;0,25;0,15
993;;Ein lieht dem liehtes nie gebraſt;Dem nie liehtes gebraſt;dem nie liehteſ gebraſt;1,0;1,0;1,0;0,42;0,45;0,09
994;;aller lieht ein vber glaſt;Aller lieht ain uͥb͛ glaſt;aller liehte ein vͤber glaſt;1,0;1,0;1,0;0,23;0,07;0,25
995;;Dem dehein lieht mach gelichen;Ane das niht dc niht erluͥhtē mag;ane daz niht erlivhten mach;1,0;1,0;1,0;0,79;0,77;0,48
996;;vner loſchen ewichlichen;D͛ mane div ſunne noch der tag;der mane div ſvnne vnt der tach;1,0;1,0;1,0;0,8;0,84;0,32
997;;Daz lieht im ſelben hie;Dc luhte nu im ſelben hie;daz lvhte im nvͦ ſelben hie;1,0;1,0;1,0;0,32;0,3;0,33
998;;nu ſeht wa der wirt her gie;Do der wirt dort her gie;Nvͦ ſeht wa der wirt hie;1,0;1,0;1,0;0,44;0,26;0,62
999;;Mit ſinen liͤben geſten;Mit den vroͮwan ſinen geſten;mit den frowen ſinen geſten;1,0;1,0;1,0;0,43;0,41;0,14
1000;;ſi ſahen da inne gleſten;Do ſahent ſuͥ dar inne gleſten;nvͦ ſahen ſi dort inne gleſten;1,0;1,0;1,0;0,27;0,3;0,27
1001;;lieht deſ ſi waren vngewon;Lieht des ſi warent ungewon;lieht des ſi waren vngewone;1,0;1,0;1,0;0,15;0,07;0,15
1002;;vn̄ erchomen vere da von;Vnd erſrakenͭ ſere da von;vnd erchomen ſere da vone I;1,0;1,0;1,0;0,32;0,19;0,33
1003;;Ir itweder wolt dē andern lan;Ietwed͛ wolte die and͛n fuͥr lan gan;etwedriv wolde di andern lan;1,0;1,0;1,0;0,5;0,37;0,44
1004;;fvr gen vn̄ ſi hie vor ſtan;vnd ſi hie vſſe beſtan;fvͤr gen vnde ſie hie vor beſtan;1,0;1,0;1,0;0,52;0,19;0,44
1005;;Vntze ſi gehorte mære;Vnʒ ſi erfuͤre diu maͤre;vnze ſi vernæmen div mære;1,0;1,0;1,0;0,62;0,48;0,48
1006;;waz anders da inne wære;Wc wnd͛s in dem ſtain waͤre;waz anders dar inne wære;1,0;1,0;1,0;0,67;0,04;0,67
1007;;Salome belæip vor der tvͦr;Salome balap bi der tuͥr;Salome beleip vor der tvͤr;1,0;1,0;1,0;0,31;0,08;0,31
1008;;zelone volſchlichen fvͦr;Anaſtaſie vortliche fuͥr;Zeloni vil angeſtlichen fvͤr;1,0;1,0;1,0;0,62;0,39;0,61
1009;;Mit ſorgen indaz gadem gie;Mit ſorgon in den ſtain gie;dvrh vorhte an daz gadem gie;1,0;1,0;1,0;0,33;0,36;0,57
1010;;nah wibeſ ſit ſi enphie;Nach wibes reht ſi enpfie;nach wibeſ rehte ſi enpfie;1,0;1,0;1,0;0,28;0,23;0,12
1011;;Div froͮwe vnd͛ ir chindelin;Vͥnſer vroͮwe vnd ir kindelin;di frowen vnd ir kindelin;1,0;1,0;1,0;0,34;0,25;0,31
1012;;ſi bats willochomen ſiͤn;Si hies ſi willekomen ſin;ſi bat ſie willechomen ſin;1,0;1,0;1,0;0,44;0,23;0,31
1013;;Nulaht ſi vn̄ dancht ir;Si erlacte vn̄ naig ir;Nvͦ lachete ſi vnt danchte ir;1,0;1,0;1,0;0,61;0,28;0,59
1014;;daz wiͤp ſprach frowe wan ſaget ir mir;Si ſp̃ch liebuͥ vroͮwe mugent ir mir;ſi ſprach frowe wan ſagt ir mir;1,0;1,0;1,0;0,61;0,21;0,53
1015;;Mih wundert ob iv iht we ſi;Sagon ob iv iht we ſi;mich wndert ob iv iht we ſi;1,0;1,0;1,0;0,37;0,11;0,37
1016;;næin mir entriwen zeloni;Nain es entruͥwen anaſtaſi;Nein mir entriwen Zeloni;1,0;1,0;1,0;0,54;0,12;0,5
1017;;Ir ſiͤt doch iezu geneſen;Ir ſint doͮch ieʒunt geneſen;ir ſit doch iezvͦ geneſen;1,0;1,0;1,0;0,18;0,16;0,25
1018;;ſold ih da von ſiech weſen;Solte mir dar umbe we weſen;ſold ich da von ſiech weſen;1,0;1,0;1,0;0,52;0,04;0,56
1019;;Ia ſo iſt vnſer wibe ſite;Alſo iſt ivnſer wibe ſitte;Ia ſo iſt vnſer wibe ſite;1,0;1,0;1,0;0,19;0,0;0,19
1020;;daz ir genuge choment da mite;Vnd iſt vil maͤngvͥ da mitte;vnt daz vil mane giv da mite;1,0;1,0;1,0;0,66;0,59;0,39
1021;;Deſ leibeſ in vil grozze not;Des libes komen in gͦſſe not;des libes chvmt in groze not;1,0;1,0;1,0;0,46;0,43;0,32
1022;;genuge ligent da von tot;Vnd iſt ir vil gelegen tot;ovch ligent genvͦge da von tot;1,0;1,0;1,0;0,73;0,47;0,67
1023;;Ih wande iz wær iv anderſ chunt;Ich wande es waͤr iv bc kunt;ich wande ez wære iv anders chvnt;1,0;1,0;1,0;0,42;0,18;0,42
1024;;triwen ih en wæiz ih bin geſunt;Entruͥwen ich enwais ich bin geſunt;Ine weiz entriwen ich bin geſvnt;1,0;1,0;1,0;0,26;0,47;0,43
1025;;Froͮwe ih wæne ir triget mih;Ich waͤne vroͮwe ir triegent mich;frowe ich wæne ir trieget mich;1,0;1,0;1,0;0,48;0,17;0,42
1026;;du biſt doch wiſer dann ih;Du biſt doͮch elt͛ danne ich;dvͦ biſt doch alter danne ich;1,0;1,0;1,0;0,32;0,24;0,24
1027;;Ginch her grͤif an miͤnen liͤp;Grif her an allen minen lip;nvͦ griffe an allen minen lip;1,0;1,0;1,0;0,43;0,6;0,28
1028;;daz tuͦn ih gerne ſprach daz wiͤp;Vroͮwe vil g͛ne ſprach dc wip;vil gerne frowe ſprach daz wip;1,0;1,0;1,0;0,45;0,42;0,5
1029;;Siͤt ir mirz habet erloubet;Sit ir mirs hant erloͮbet;Sit ir mirz habt erlovbet;1,0;1,0;1,0;0,19;0,11;0,12
1030;;ſi græif ir andaz houbet;Si graf ir an dc hoͮbet;ſi greif ir an daz hovbet;1,0;1,0;1,0;0,29;0,12;0,24
1031;;Vn̄ ſuht her vnt dar;Baidi her vnd dar;vnde greif her vnt dar;1,0;1,0;1,0;0,45;0,36;0,45
1032;;vn̄ nam vleizzechlichen war;Si nam fliſſeclichen war;ſi nam vil vlizechlichen war;1,0;1,0;1,0;0,3;0,29;0,32
1033;;Wes die ader phlagen;Wes die aderan pflagent;wes di adern an ir pflægen;1,0;1,0;1,0;0,17;0,42;0,35
1034;;ob ſi ſlvͤgen oder ſtille lagen;Ob ſi ſluͤgen od͛ lagent;ob ſi ſlvͤgen oder ſtille lægen;1,0;1,0;1,0;0,39;0,03;0,42
1035;;Do ſi da ſiecheſ nine vant;;Do ſi der ſiecheite niht envant;1,0;1,0;1,0;1,0;0,29;1,0
1036;;ſi lie ſleifen ir hant;;nvͦ lie ſi ſliffen di hant;1,0;1,0;1,0;1,0;0,38;1,0
1037;;Vnt greif inmanig ende;Vnd ſuͦchte an allen enden;vnde ſvͦcht in allen ende;1,0;1,0;1,0;0,58;0,56;0,23
1038;;hals arme vn̄ hende;keln arm vnd hende;hals arm vnd hende;1,0;1,0;1,0;0,26;0,11;0,17
1039;;Darnah an die brvſte;Vn̄ dar nach an die bruͥſtelin;dar nach an div brvſtelin;1,0;1,0;1,0;0,4;0,28;0,23
1040;;die vant ſi zericher chvſte;Die warent alſ ſi ſoltont ſin;;1,0;1,0;1,0;0,72;1,0;1,0
1041;;Mitmilche beraten harte wol;Mit milche beraitet wol;div warn alſ ſi ſolden ſin;1,0;1,0;1,0;0,3;0,85;0,81
1042;;als von rechte chindͤs muͦter ſol;Alſ von reht kindes amme ſol;mit milche beraten wol;1,0;1,0;1,0;0,36;0,7;0,71
1043;;Daz hertze dar vnder ſanfte lac;Dc h͛ʒe ir dar und͛ ſanfte lag;ſo von rehte chindes mvͦter ſol;1,0;1,0;1,0;0,39;0,74;0,77
1044;;ſine græif ouch dar vnd͛ dͤheinē ſlac;Si kos oͮch da enkanen ſlag;daz herze dar vnder ſanfte lach;1,0;1,0;1,0;0,55;0,66;0,77
1045;;Dar an dehein ſiechtuͦm ſchin;Dar an de kain ſiechtag erſchaī;dar an dehein ſiecheit ſchin;1,0;1,0;1,0;0,32;0,17;0,35
1046;;nv græif ſi mvzzechlichen hin;Da graf ſi miſſeclichen hin;Nvͦ greif ſie mvͤzechliche hin;1,0;1,0;1,0;0,28;0,2;0,37
1047;;Vber den bouch an div bæin;;vͤber den lip vnt div bein;1,0;1,0;1,0;1,0;0,38;1,0
1048;;do da niht vngeſundeſ ſchæin;;do da niht vngeſvndes ſchein;1,0;1,0;1,0;1,0;0,11;1,0
1049;;Do ſucht ſi anden fvezzen;Vnd ſuͦchte ir an den fuͤʒen;do ſvͦchete ſi an den fvͤzen;1,0;1,0;1,0;0,43;0,29;0,32
1050;;da nant ſi der ſvezzen;Die vant ſi der ſuͤʒen;di vant ſi der ſvͤzen;1,0;1,0;1,0;0,36;0,18;0,18
1051;;Zerechte warm chalt noh hæiz;Kuͤle vn̄ doch ʒe rehte hais;ze rehte chalt vnd heiz;1,0;1,0;1,0;0,79;0,43;0,71
1052;;nu ſprach daz wip ih en wæiz;Do ſprach die vroͮwe ich enwais;Do ſprach daz wip ineweiz;1,0;1,0;1,0;0,45;0,25;0,45
1053;;Weſ ih hiervmbe ſol iehen;Wes ich h͛ vmbe ſol iehen;weſ ich hir vmbe ſvͤl iehen;1,0;1,0;1,0;0,2;0,22;0,22
1054;;hie iſt ein wunder geſchehen;Hie iſt ain gros wnd͛ beſchehen;hie iſt ein wnder groz geſchehen;1,0;1,0;1,0;0,35;0,19;0,38
1055;;Diſe froͮwe iſt maget vn̄ hat eī chint;Diſuͥ vroͮwe iſt maget vn̄ hat ain kīt;div frowe iſt magt vnd hat ein kint;1,0;1,0;1,0;0,23;0,23;0,29
1056;;ir brvſte wol beraten ſint;Ir bruͥſte wol beraitet ſint;ir brvͤſte wol beraten ſint;1,0;1,0;1,0;0,18;0,04;0,18
1057;;Von milche mit grozzem vollen;Von milche mit vollen;vnde milche mit grozem wollen;1,0;1,0;1,0;0,28;0,21;0,41
1058;;ir liͤp iſt ir vmbewollen;Ir lip iſt vmbewollen;ir lip iſt rein vnd vnbewollen;1,0;1,0;1,0;0,2;0,3;0,37
1059;;Ir chint vater nie gewan;Dis kint ʒe watt͛ nie gewan;Diz chint ze vater nie gewan;1,0;1,0;1,0;0,41;0,21;0,25
1060;;dehein irdiſchen man;Enkainen irtſchen man;deheinen irdiſſchen man;1,0;1,0;1,0;0,38;0,13;0,3
1061;;Wart ie von got chint geborn;Wart oͮch dekaines vō gotte ie geboen;wart ie deheinez von gote erborn;1,0;1,0;1,0;0,51;0,53;0,43
1062;;ſo hat er ditz reht erchorn;So hat er dis vō reht erkorn;ſo hat er im diz vil reht erchorn;1,0;1,0;1,0;0,25;0,24;0,27
1063;;Wan ih ſo ſchoͤnez nie geſach;Wan ich ſo ſchoͤnes nie geſchach;wand ich ſo ſchonez ni geſach;1,0;1,0;1,0;0,12;0,17;0,22
1064;;ditze hort ſalome vn̄ ſprach;Dis horte ſalome vn̄ ſprach;Daz gehorte Salome vnd ſprach;1,0;1,0;1,0;0,18;0,31;0,21
1065;;Weiſtu liebiv waz dv ſæiſt;Du enwaiſt huͥte wc du haſt geſait;dvne weiſt liebe waz dvͦ ſeiſt;1,0;1,0;1,0;0,71;0,37;0,62
1066;;vil ſere wid͛ den gelouben ræiſt;;vil ſere dvͦ wider dem gelovben reiſt;1,0;1,0;1,0;1,0;0,24;1,0
1067;;Solhiv dinch vmmvglich ſint;;ſolhiv dinch div vnmvͤgelich ſint;1,0;1,0;1,0;1,0;0,24;1,0
1068;;nu ginch her ſih muͦter vn̄ chint;;chvm her ſich mvͦter vnd kint;1,0;1,0;1,0;1,0;0,39;1,0
1069;;Schoͤwe ſelbe die warheit;Du redoſt wid͛der warhait;vnd ervar ovch dvͦ di warheit;1,0;1,0;1,0;0,68;0,62;0,62
1070;;ob ich dir rehte han geſeit;Dc ich dir niht han miſſeſait;daz ich dir niht han miſſe ſeit;1,0;1,0;1,0;0,34;0,35;0,16
1071;;Div froͮwe erbaldete do;duͥ vroͮwe erbaldot ſich do;Div frowe erbaldete do;1,0;1,0;1,0;0,37;0,04;0,41
1072;;vnt gie dar vn̄ vant alſo;Si gie dar in vn̄ vant alſo;ſi gi dar in vnd vant alſo;1,0;1,0;1,0;0,22;0,31;0,11
1073;;Als div het geſaget;Alſ si ir habte geſaget;alſ ir div ander hete geſagt;1,0;1,0;1,0;0,35;0,46;0,46
1074;;reiniv muͦt͛ vn̄ maget;Muͦt͛ vn̄ raine maget;reine mvͦter vnd reine magt;1,0;1,0;1,0;0,64;0,48;0,48
1075;;Wart menſch vn̄ got;Menſchen vn̄ waͤren Got;waren menneſſchen vnd got;1,0;1,0;1,0;0,7;0,36;0,72
1076;;noch wande ſi allez iz wer ein ſpot;Si wande es waͤre aͤlles ain ſpot;Nvͦ wande ſi allez ez wære ein ſpot;1,0;1,0;1,0;0,46;0,2;0,49
1077;;Vntz daz ſi die warheit baz ervant;Vnʒ ſi die warhait reht ervant;vnze ſi di warheit ſelbe ervant;1,0;1,0;1,0;0,32;0,35;0,29
1078;;wan alſo ſi dar reichte mit d͛ hant;Si raigete dar mit der hant;do ſi dar reichete mit der hant;1,0;1,0;1,0;0,57;0,29;0,45
1079;;Vn̄ wolte greiffen an ſi;Si wolte griffen an ſi;vnd wolde griffen an ſi;1,0;1,0;1,0;0,17;0,17;0,17
1080;;alſo da vor zeloni;Alſ oͮch da vor anaſtaſi;alſ ovch da vor Zeloni;1,0;1,0;1,0;0,5;0,23;0,38
1081;;Mit guͦter andaht tete;Mit groſſem andahte tet;mit grozer andaht tet;1,0;1,0;1,0;0,3;0,23;0,22
1082;;nu erchrumpte ſa zeſtete;Do erkrumbot ir alda ʒe ſtet;nvͦ erchrvmbet ir an der ſtet;1,0;1,0;1,0;0,54;0,48;0,41
1083;;Div hant zuͦ dem arme;Div hant ʒuͦ dem arme;div hant her zvͦ dem arme;1,0;1,0;1,0;0,05;0,24;0,28
1084;;vn̄ begunde div vil arme;Do begunde die arme;Do begonde div vil arme;1,0;1,0;1,0;0,33;0,17;0,26
1085;;Schrien vn̄ wæinen;Schrien vn̄ wainon;ſchrien vnd ſere weinen;1,0;1,0;1,0;0,11;0,35;0,39
1086;;owe waz ſol ditz mæinen;Si ſp̃ch oͮwe wc ſol dis mainon;ſi ſprach owe waz ſol daz meinen;1,0;1,0;1,0;0,52;0,41;0,31
1087;;Daz ih helfloſez wiͤp;Dc ich liebloſes wip;daz ich vil helfeloſez wip;1,0;1,0;1,0;0,43;0,31;0,42
1088;;alſus verlivs minen liͤp;Suſ han v͛lorn minen lip;alſvs verlivſe minen lip;1,0;1,0;1,0;0,5;0,17;0,5
1089;;Herregot erloͤſe mich;Dc ich dc leben ie gewan;herre got nvͦ erloſe mich;1,0;1,0;1,0;0,83;0,28;0,88
1090;;dv wæiſt wol daz ih wid͛ dih;Nu muͦs ich krumb vnd lan;dvͦ weiſt wol daz ich wider dich;1,0;1,0;1,0;0,79;0,19;0,81
1091;;;Min leben ſus u͛tͥben hin;;1,0;1,0;1,0;1,0;1,0;1,0
1092;;;Nie enwart nihͭ e͛m͛s dē ich bin;;1,0;1,0;1,0;1,0;1,0;1,0
1093;;;H͛re habe erbaͤrmde uͥb͛ mich;;1,0;1,0;1,0;1,0;1,0;1,0
1094;;;Gedenke dc ich wid͛ dich;;1,0;1,0;1,0;1,0;1,0;1,0
